Gene ID	CV-H3K9ac_1.sort.bam	CV-H3K9ac_2.sort.bam	CV-H3K9ac_3.sort.bam	CV-H3K9ac_4.sort.bam	CV-H3K9ac_5.sort.bam	CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Txndc12	1973	2523	21124	1536	1985	845	30002	33501	28050	39996
Txndc15	1637	2235	15170	3326	2530	546	24100	27950	24802	29800
Txndc16	1087	1386	7832	888	893	793	11200	11799	9500	12751
Txndc17	1785	2418	17751	1927	1640	495	29049	37604	27652	33856
Txndc2	545	641	1934	299	50	191	1300	2350	2501	2050
Txndc3	891	297	1376	246	297	198	1350	2000	2150	2350
Txndc5	1329	1985	18405	1919	1782	746	20449	23851	19650	23100
Txndc6	645	245	1576	300	198	248	1650	2300	2000	2200
Txndc8	829	742	1790	539	397	346	1600	2400	1850	2200
Txndc9	2337	2827	28457	3217	2773	845	36550	49755	38200	55506
Txnip	1535	3323	45471	4109	3370	633	53750	59153	53448	61700
Txnl1	1736	2320	24366	1635	2033	694	34556	39505	34311	48060
Txnl4a	1437	2134	19714	2424	1735	543	20899	26300	19000	29650
Txnl4b	1877	1693	13164	1923	1636	491	26704	33402	25350	34454
Txnrd1	643	689	1980	199	345	200	1799	2550	2801	2150
Txnrd2	1188	1786	11266	1636	1392	544	18751	19400	16550	23851
Txnrd3	743	1137	5663	546	547	341	8550	9801	7199	12799
Tyk2	1239	1134	5304	741	795	241	10850	10102	9402	14253
Tymp	1097	1830	9051	1536	1581	892	23448	23000	28901	31499
Tyms	1335	693	7714	1045	1094	547	10900	11096	11102	10001
Tyms-ps	742	348	1241	347	250	149	750	1550	1050	650
Tyr	598	495	994	297	99	199	650	1350	1350	1150
Tyro3	946	693	4024	889	846	394	9150	6200	7000	10103
Tyrobp	693	746	2521	442	243	99	1850	2700	1950	2100
Tyrp1	679	493	2130	395	343	192	750	2150	1804	750
Tysnd1	2566	1770	11823	1788	1540	700	20350	23100	18051	24000
Tyw1	2269	2571	21307	2130	1791	691	26452	44451	34795	48793
Tyw3	595	894	5290	842	793	297	7805	9754	7352	12501
U05342	2626	3208	38910	3483	3073	794	46748	59399	45497	60100
U2af1	1522	1540	15991	1945	1937	894	22649	26450	21949	28799
U2af1l4	2237	1536	16456	1931	1983	940	23351	29050	24450	36997
U2af2	2965	3377	36354	4214	3511	790	44299	58097	45800	65751
U90926	743	532	2122	148	300	341	1550	2900	2050	2050
Uaca	1380	1887	14768	1624	1435	689	19599	20450	22501	26149
Uap1	1540	2279	20662	1640	1390	996	28149	32450	29900	40850
Uap1l1	1482	1783	9702	1286	1091	497	19251	17999	17250	24197
Uba1	445	648	3523	248	397	199	5550	6248	5901	8950
Uba2	1273	1581	11194	1341	1190	397	16048	19150	15751	19200
Uba3	1093	1679	17884	2281	1789	400	24051	29100	25150	33899
Uba5	1530	1582	17097	1930	1786	645	27497	30255	26752	31999
Uba52	3129	3183	25440	2781	3870	693	36102	39555	38108	50701
Uba6	744	994	6211	989	695	349	10953	11749	10348	14950
Uba7	1343	795	5898	792	640	546	9950	9100	9548	15550
Ubac1	1478	2272	7230	990	1384	745	12549	12949	13400	14051
Ubac2	2029	1844	17733	2179	2685	646	28251	31450	29703	37347
Ubap1	1832	2535	26193	2537	2035	449	31350	39249	34650	43399
Ubap2	1385	1645	14078	1192	1975	592	20949	25053	20046	28699
Ubap2l	1730	2911	27708	2879	2812	1045	42444	42049	39498	53547
Ubash3a	740	789	2428	346	444	345	1350	2150	2000	2300
Ubash3b	1231	1092	4667	648	499	545	6751	6750	5950	6650
Ubb	2223	2922	31118	2916	3468	476	43098	50849	45503	63054
Ubc	4588	6612	74181	6898	5793	1339	89651	117893	90804	139552
Ubd	344	396	2138	345	248	343	2150	1750	1900	1752
Ube1y1	690	397	1238	399	0	50	600	800	750	750
Ube2a	1189	1240	9938	794	1198	245	16598	18100	14950	18150
Ube2b	3075	3720	41816	4079	3326	1285	46850	65600	46551	74598
Ube2c	1186	1598	9075	1091	934	344	12450	12050	10849	15150
Ube2cbp	887	742	4371	694	639	498	4900	6650	4998	6400
Ube2d1	643	1287	7241	1329	1096	791	11450	11800	13701	14851
Ube2d2	2287	3340	28455	3525	3623	693	37851	43850	36203	47600
Ube2d3	3473	4276	53327	4732	4905	1131	64100	80594	64099	92198
Ube2dnl	297	336	591	49	98	99	550	950	750	650
Ube2e1	1485	1195	11625	1696	1688	385	14700	16797	16849	19798
Ube2e2	598	696	5266	499	448	149	7195	6850	7150	8050
Ube2e3	1727	2036	18179	2436	2625	648	29456	29910	26951	36508
Ube2f	1439	2131	18337	2286	2280	1276	25499	28548	26900	41650
Ube2g1	2467	3517	24673	2875	2732	845	32551	36799	27898	42450
Ube2g2	1791	2728	19457	1334	1682	598	23550	24551	25948	30604
Ube2h	2185	2264	22047	2478	3034	894	26699	29250	26500	36900
Ube2i	3205	3205	38164	2680	4081	1439	48647	59850	46346	61851
Ube2j1	1985	2685	28111	2836	2741	694	36297	44350	34950	48848
Ube2j2	2181	2382	21201	2930	2437	787	31703	39052	32900	47198
Ube2k	1930	2286	24156	2276	3022	692	38051	41400	37800	57050
Ube2l3	1591	2680	17612	2190	2119	1144	29800	29701	28150	38600
Ube2l6	1144	744	3822	589	637	146	7750	8198	7300	10702
Ube2m	2566	3975	33993	3633	4285	1033	39788	51332	41371	54583
Ube2n	2440	2979	27497	3517	4466	946	36997	43599	37649	53199
Ube2o	894	946	4424	1070	622	249	5598	6451	5850	8150
Ube2q1	2419	2982	27056	3325	4364	1139	39798	49250	37250	50047
Ube2q2	1538	1631	13151	1885	1844	597	18701	18051	18500	25297
Ube2ql1	747	596	2079	345	449	250	2150	2450	2300	1850
Ube2r2	2387	2813	28982	3573	3676	1076	43342	43794	41399	56000
Ube2s	1835	2775	27686	2481	3070	895	38100	42396	38350	48099
Ube2t	1093	1084	6819	445	619	198	11849	10450	10400	14401
Ube2u	745	444	2326	197	198	199	1250	1801	1500	1250
Ube2v1	1434	2276	16093	2641	1982	792	25601	24300	23701	34450
Ube2v2	741	789	6741	1094	891	248	10500	11900	9701	15097
Ube2w	894	1435	10617	1042	1392	493	15151	17503	14750	20449
Ube2z	1040	1589	12350	1180	1639	645	20353	23756	21454	31953
Ube3a	2203	3030	27336	2484	3084	1240	41699	48897	40092	54550
Ube3b	2223	4381	34554	3681	3768	1041	46600	52501	43701	59549
Ube3c	1435	995	9532	1141	1037	496	12952	15300	12000	16051
Ube4a	1129	1444	14102	1333	1139	299	20100	23300	18300	29100
Ube4b	1972	1823	14992	2085	1877	645	29048	23949	24748	35602
Ubfd1	2016	2181	24048	2774	3021	545	28100	37550	28851	37800
Ubiad1	1482	2026	10362	1440	1085	796	13000	14551	14000	16600
Ubl3	1874	2925	33002	2933	2929	993	41148	49998	44596	56588
Ubl4	490	791	7037	980	890	390	10751	11100	10400	11152
Ubl4b	791	782	1730	342	344	200	2700	2450	2350	1700
Ubl5	1486	2563	20824	2081	2394	447	33546	32999	30350	43645
Ubl7	1482	1691	8372	994	995	197	15452	14699	14452	23252
Ublcp1	1239	1535	14054	1489	1040	597	18250	20503	17100	24502
Ubn1	1785	2716	23355	2531	2643	945	34799	41997	34750	49850
Ubn2	2066	2058	21868	2629	3312	395	32453	35002	30798	42399
Ubox5	1038	1336	10519	1388	1038	545	17100	14700	13948	22401
Ubp1	1787	2085	20324	2191	2677	796	29748	30248	28849	37446
Ubqln1	1740	3181	26613	2675	3286	1240	26750	33151	29850	39350
Ubqln2	990	977	5124	646	1143	150	8400	9150	7798	10551
Ubqln3	250	541	1769	448	248	249	1550	1900	1200	1500
Ubqln4	2122	2083	18762	2431	2518	941	27200	29099	31504	41650
Ubqlnl	1093	684	1680	199	247	298	900	1550	1650	850
Ubr1	1226	842	6049	894	647	598	13000	12350	14251	16299
Ubr2	1380	1388	11705	1539	1390	737	13851	15251	13349	21555
Ubr3	1983	2586	16696	2338	2375	894	28550	29599	26101	34948
Ubr4	1379	1890	15605	1782	1237	744	24699	28348	25154	39550
Ubr5	2430	2330	16736	1921	2284	294	23297	23743	20950	28650
Ubr7	1631	1633	13918	1194	1886	444	21399	21050	23104	30251
Ubtd1	1243	1639	11111	1341	2041	846	21804	21698	17852	29750
Ubtd2	1293	950	10048	1638	1591	447	12601	14951	12401	16495
Ubtf	3332	5270	41628	5418	6058	1292	65095	64658	63854	81855
Ubtfl1	745	494	1836	147	199	300	750	1750	1300	750
Ubxn1	1234	2055	15002	1430	2138	645	22153	23152	19651	28001
Ubxn10	1223	1043	3915	545	647	196	3150	3500	4500	5150
Ubxn11	1091	1085	2972	546	397	395	3252	3300	3000	3650
Ubxn2a	1429	2562	18252	2265	2186	692	23652	36049	26002	37349
Ubxn2b	1147	790	3275	445	546	249	6400	6100	5650	7898
Ubxn4	1990	2232	21190	2284	1986	648	24006	28894	24553	31103
Ubxn6	1094	642	7031	549	895	247	7500	9800	7800	13751
Ubxn7	1484	1789	12356	1742	1833	549	19302	19200	18851	29106
Ubxn8	881	981	10589	1586	988	398	14901	15050	15500	19950
Uchl1	695	345	1730	547	248	297	1899	2749	1700	1800
