Gene ID	CV-H3K9ac_F1.sort.bam	CV-H3K9ac_F2.sort.bam	CV-H3K9ac_F4.sort.bam	CV-H3K9ac_F5.sort.bam	CV-H3K9ac_F6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Ntn3	2387	2993	2345	1596	1697	2700	2700	3300	4548
Ntn4	3686	4844	4390	4790	1680	21453	14850	19000	23703
Ntn5	3789	2890	2141	1348	1229	2050	3250	2250	2900
Ntng1	2569	1697	1350	800	695	2201	3050	2201	1700
Ntng2	2289	2696	1598	1547	997	1750	2050	1700	1750
Ntpcr	4192	3096	3641	4046	1298	8850	10800	9150	11250
Ntrk1	2340	2245	1495	1647	1092	2650	2900	2847	3052
Ntrk2	2298	1896	2045	1350	1346	1850	1950	1450	2100
Ntrk3	1890	1991	1750	738	1246	1900	1900	1800	1400
Nts	1794	1243	897	595	649	1950	2050	2000	2650
Ntsr1	1640	2544	1843	1098	681	1000	1650	2000	2300
Ntsr2	2797	1744	1347	1395	697	800	1600	1700	1500
Nuak1	3728	4334	4343	5342	1693	13600	8550	9650	16750
Nuak2	5290	6742	6233	5177	2896	22050	19301	22948	31104
Nub1	4482	4322	3437	5244	2138	17101	18300	15549	23702
Nubp1	3977	3097	3147	2496	1198	6850	7850	7950	10600
Nubp2	5979	8274	6089	7088	2544	22950	23550	21200	33099
Nubpl	3187	3146	2396	1692	893	5849	6150	5100	7350
Nucb1	5037	5838	5290	5936	2544	19400	27550	20202	28847
Nucb2	2888	3440	1647	2286	1094	5050	5205	5450	6700
Nucks1	5889	7886	7279	8343	2594	23501	21248	18549	25999
Nudc	4827	5093	4644	5533	1492	12800	14442	13250	17200
Nudcd1	5614	6485	5336	4939	2196	17049	21200	17001	25054
Nudcd2	5334	6640	5491	5732	1994	19450	20393	20150	25150
Nudcd3	6474	7488	7334	8457	2447	24850	28600	22850	32151
Nudt1	4035	5083	4790	4140	1848	11500	10802	11151	14000
Nudt10	947	899	950	449	350	800	1350	600	700
Nudt11	646	1300	950	450	499	1149	1300	750	1100
Nudt12	3890	4137	3098	1543	1747	10700	11750	12200	13349
Nudt13	4035	2642	1942	1797	1144	6900	7903	8250	10450
Nudt14	4083	4842	4790	4243	2137	11650	11798	11850	16050
Nudt15	2637	1748	1293	894	800	1550	2200	2700	2250
Nudt16	5282	5488	5586	5632	1992	14450	15349	15150	18050
