Gene ID	merged_CV-H3K9ac_1.sort.bam	merged_CV-H3K9ac_2.sort.bam	merged_CV-H3K9ac_3.sort.bam	merged_CV-H3K9ac_4.sort.bam	merged_CV-H3K9ac_5.sort.bam	merged_CV-H3K9ac_6.sort.bam	GF-H3K9ac_1.sort.bam	GF-H3K9ac_2.sort.bam	GF-H3K9ac_3.sort.bam	GF-H3K9ac_4.sort.bam
Crat	2814.282312368789	5112.249389243864	7036.278074143702	7086.3677181012345	9690.203695068207	3647.0	17700.471352938363	15558.017080583086	17012.44030287149	23031.608447672977
Crb1	632.5896111467692	785.3218251264186	565.4955338264419	683.5494010379949	754.3752325112841	400.0	671.263450937322	577.5695329690619	828.7686932838272	448.5308077600922
Crb2	1044.1887978163081	890.8255156092745	816.8856869079206	1300.6335600303507	1197.915806053928	995.0	1292.8036832866942	594.3512143144101	740.6574953662836	1009.1943174602076
Crb3	2419.6823891205754	4757.025270077797	7530.590501466019	5820.921639153869	8440.630553139834	3046.0	17594.06366516015	16506.881313317972	15026.012603284886	22494.268539976387
Crbn	1353.7924039578945	1400.9018256453394	2469.97440932897	2402.5230139438395	2484.0053405832014	994.0	6886.168542245165	5296.718174625477	6063.097282444842	8006.274918517646
Crcp	1278.923307612908	2017.7580804846173	2354.07031769772	2573.247459198324	3106.5653022424544	1543.0	5170.717500960897	3863.2828930436654	4253.328172742421	6212.151687477278
Crct1	1099.526825549559	678.9672984299914	814.7687171977607	1103.1926939535992	932.5039769059202	699.0	1317.665292580669	751.679476927048	1395.8209571096038	1255.8862617282582
Creb1	3784.687073207429	7323.147290209193	13360.460462032393	11454.828332551871	17432.569570181066	4126.0	26925.62009756068	23982.770734309168	23838.004783137454	32607.292662543186
Creb3	2231.243745662904	4162.290756791376	6261.202539011438	4972.512373041887	7776.2103365478415	2946.0	15612.59340443035	12603.392308717745	11864.478135431633	18050.225296689394
Creb3l1	1188.1400072139147	1703.3740995699784	2386.883348205197	2632.544881023355	3070.9395533635275	1448.0	4673.982547267279	3933.206565315949	4252.891978693324	5225.383910405075
Creb3l2	1725.2443940366434	2567.823692558539	4766.886544852375	3932.526821033651	4616.206410986996	1795.0	11759.541196050122	9526.75072873727	9922.978422901993	13792.770869430597
Creb3l3	934.5978017171251	1079.711155022129	933.3190209667106	1071.9149329909453	1242.4479921525872	1191.0	1144.6284918946037	891.526821471615	1264.5265483314818	1883.8293925923874
Creb3l4	1198.9906008871012	1740.810892967121	1755.7617533638006	1818.6714759743031	2174.061325336534	1346.0	3381.676096166464	2149.8033040113573	2770.268405813467	3655.5260832447516
Creb5	813.071152577437	933.7927443946311	830.9106112377293	779.9891640061772	574.4652006727016	745.0	746.3455110051261	751.679476927048	806.9589908289897	874.6350751321798
Crebbp	2796.9213624916906	6802.0101093967	9668.465287513667	9570.343234551985	11917.70364372313	3496.0	20663.975180780166	17673.208166819662	18150.90677101401	24604.60599048762
Crebl2	2126.7163599445416	2906.881923666749	5190.545108098108	4644.747502954078	5106.060458072246	1943.0	14168.631136636288	11448.602861140982	11799.485222116216	18703.286152788085
Crebzf	6470.209007321072	9315.380284286668	11959.555756334134	12999.1677800829	17730.04457332011	6112.0	20059.83807493658	18032.96546066056	18556.56723667399	23651.926554805184
Creg1	1281.0934263475453	1903.3206097592617	2701.2533501639305	2080.622724036528	3815.5177049331064	1947.0	6017.006681327803	4492.595943494217	5581.975246291125	7468.037949205536
Creg2	972.2131931175047	700.6636218760626	880.9240206402551	1139.0317950566398	1242.4479921525872	1395.0	1118.77241822887	839.0840672674024	1025.0560153773654	829.7819943561707
Creld1	1603.7177448969553	1799.0931735967629	2490.6148640030283	2794.146645997066	4669.645034305387	1494.0	4995.194539345434	4369.87989865636	5823.190555441628	5629.061637389158
Creld2	2543.3791569949008	3057.47993346889	3707.6078261311545	4943.841092159455	6525.746550897496	3193.0	9149.07222018276	7780.0573953756275	8743.945908193475	9531.27966490196
Crem	2381.34362480865	4097.201786453163	6992.880195085425	6311.5915142554995	9110.394632063666	2298.0	21533.63427388341	19771.26795334953	18997.9956143599	27406.577946564918
Crh	864.0689428414132	1104.810823322486	776.6632624148839	1107.754034093986	709.8430464126251	549.0	522.0937951734726	716.7176407909062	545.242561370939	583.0900500881199
Crhbp	469.46901959319985	804.4656399317755	775.8693987735741	1008.0561710255274	756.1565199552305	697.0	845.2947159951461	576.8702962463392	1025.0560153773654	1031.6208578482122
Crhr1	883.6000114531488	1019.3017838585586	724.2682620884284	879.0354070545808	1200.5877372198477	800.0	522.0937951734726	506.9466239740556	719.7201810096394	560.6635097001154
Crhr2	883.2383249973759	973.7820464324877	879.0716721438653	1008.0561710255274	1201.478380941821	899.0	795.5714974071964	541.9084601101973	632.4813711902892	717.6492924161475
Crim1	1497.0202404439553	2526.983554307111	3184.451686507909	4259.640071101404	5332.283963453433	2095.0	10813.805578507317	6765.4649107047935	7829.683181286684	11482.38867865836
Crip1	3242.1573895481074	6540.803391830274	10475.030747084558	10887.267295083719	11596.181260090814	3786.0	34211.06608506708	29769.65385156335	29705.68713158695	28482.60335438138
Crip2	1315.815326101742	1441.7419638967674	1221.4915227622162	1625.7919500379385	2043.1366982064767	1198.0	2212.683227163765	1713.1299706709465	2050.1120307547308	2825.7440888885812
