GeneName	GF-H3K9ac_1	GF-H3K9ac_4	GF-H3K9ac_3	GF-H3K9ac_2	merged_CV-H3K9ac_6	merged_CV-H3K9ac_5	merged_CV-H3K9ac_4	merged_CV-H3K9ac_3	merged_CV-H3K9ac_2	merged_CV-H3K9ac_1
Gm2083	429.60860859988605	440.9057840281707	624.6298783065477	634.557325870973	803.0	716.9681961884105	664.0008004363364	751.5242471067361	824.0348728439182	806.5607963735251
Gm2109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm216	337.620654212179	314.86862704758477	292.25001289482327	235.99239391895694	207.0	282.3340598654983	271.07392834299895	201.37674367895286	180.80269538392628	179.39648206334908
Gm2176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm221	135.2471545592234	134.11071152026759	146.5612004965084	137.05039765367573	192.0	169.22230717490433	179.84712553525893	170.68068288163548	160.38262625821227	168.90757484593553
Gm2381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2382	200.3845709094376	239.51545134388925	183.2015006206355	174.109943957986	72.0	106.87724663678169	97.74300300829289	94.73439452965194	71.89566004678481	69.08211305262031
Gm239	663.8049681491295	792.1054065043229	749.3813763482185	688.7481718819928	525.0	544.1833141256135	536.2832765055003	518.1283365616159	518.5846721717792	472.36251123938285
Gm2447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2506	384.3604796848518	298.27298716046135	332.8160594608212	287.73591140044675	382.0	490.7446908072226	488.0633950214092	388.463941814327	403.29636523285205	381.5792108403897
Gm2516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm266	16.408662134023427	20.632417156964244	17.8839560129668	19.928246597600808	22.0	21.37544932735634	19.548600601658578	15.348030398658695	22.97257776642828	12.659025952050843
Gm2663	51.214915145588265	55.16928935449135	66.30149546270619	76.56642113815047	76.0	50.7666921524713	46.91664144398059	86.00189447524268	65.51438844499917	78.12427444694234
Gm2694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2696	20.883751806938907	17.94123231040369	20.064926258450555	12.236642647649617	34.0	18.703518161436797	20.85184064176915	19.05272739143838	24.674250193571115	19.892755067508467
Gm2721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2799	9.447411531710458	6.279431308641291	10.90485122741878	15.033589538540959	13.0	7.125149775785446	13.684020421161005	20.90507588782822	13.187961310356975	14.82914468668813
Gm2825	1.988928743517991	4.03677726984083	8.723880981935023	5.244275420421265	11.0	5.343862331839085	7.819440240663432	6.880151558019415	6.381271601785634	6.510356203911862
Gm2837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm2863	1.988928743517991	2.6911848465605535	6.979104785548019	4.54503869769843	7.0	5.343862331839085	10.425920320884575	9.52636369571919	3.82876296107138	10.850593673186436
Gm2897	156.1309063661623	161.0225599858731	183.63769466973224	180.0534561011301	257.0	196.83226255607295	211.12488649791266	213.81394072614182	212.70905339285446	209.7781443482711
Gm2913	7.458482788192466	14.352985848322952	12.213433374709034	18.18015479079372	14.0	7.125149775785446	9.774300300829289	13.231060688498875	14.464215630714103	16.275890509779654
Gm2933	10.441875903469453	13.007393425042675	10.90485122741878	18.879391513516552	13.0	14.250299551570892	13.032400401105718	15.612651612428673	15.31505184428552	13.744085319369486
Gm2a	122.31911772635644	125.14009536506573	110.79328847057481	84.25802508810166	73.0	104.20531547086215	73.63306226624731	76.21090956575352	99.54783698785589	68.35874014107455
Gm3002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3139	279.44448846427775	195.55943218340022	276.54702712734024	291.58171337542234	324.0	265.4118291480079	383.1525717925081	309.6068201108737	309.7043817399961	309.60360614158634
Gm3143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3238	28.342234595131373	14.801516656083043	14.83059766928954	13.984734454456706	33.0	25.828667937222242	29.974520922543153	20.11121224651829	18.292978591785484	15.552517598233893
Gm3258	13.42526901874644	12.11033180952249	11.777239325612282	12.935879370372454	15.0	16.031586995517255	9.122680280774004	10.5848485507991	13.613379417142685	18.084322788644062
Gm3264	103.92152684881503	83.87526105113724	103.81418368502678	108.03207366067805	109.0	105.98660291480851	119.89808369017261	116.69795527256008	119.1170698999985	120.07990331659657
Gm3279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3285	21.380983992818404	13.90445504056286	13.085821472902536	18.18015479079372	15.0	19.594161883409978	26.716420822266723	18.258863750128448	22.121741552856864	15.190831142461011
Gm3286	445.0228063621505	418.4792436401661	482.86681235010354	557.2916680100998	586.0	578.0277755605944	527.1605962247263	570.5233368880715	615.5800005189208	634.7597298814065
Gm3317	125.30251084163343	88.80909993649827	142.63545405463765	107.33283693795522	159.0	112.22110896862077	157.6920448533792	162.74204646853616	139.1117209189268	166.0140831997525
Gm3336	299.83100808533715	394.7071108288812	238.5981448559229	163.9710114785049	127.0	194.1603313901534	143.3564044121629	182.3240162875145	156.9792814039266	97.65534305867793
Gm3383	137.7333154886209	115.7209484021038	151.79552908566941	147.18933013315683	164.0	153.19072017938709	205.91192633747036	181.79477385997453	181.6535315974977	197.11911839622027
Gm3402	153.6447454367648	149.8092897918708	126.93246828715459	128.65955698100169	230.0	226.22350538118792	188.31818579597766	177.2962132258849	206.32778179106882	160.58878636315927
Gm3404	89.99902564418909	44.404549968249135	72.40821215006069	75.1679476927048	94.0	74.81407264574719	71.02658218602618	95.52825817096188	91.89031106571312	80.65607963735252
Gm3409	86.51840034303261	86.11791508993771	76.33395859193146	61.53283159960951	93.0	113.11175269059396	86.66546266735304	90.50045510933231	68.49231519249913	74.50740988921353
Gm3414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3415	141.71117297565686	145.32398171426988	139.58209571096037	127.26108353555603	249.0	222.66093049329518	196.78924605669636	174.38537987441518	209.30570853856878	163.4822780093423
Gm3417	724.4672948264282	885.8483453261822	653.8548795960301	624.7680117528533	230.0	395.4458125560923	316.68732974686895	338.7151536255712	260.78129945963957	242.3299253678304
Gm3428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3435	774.6877456002575	935.6352649875524	628.1194306993217	654.4855724685739	242.0	359.820063677165	342.7521305490804	334.48121420525155	307.5772912060675	241.24486600051176
Gm3448	724.4672948264282	885.8483453261822	653.8548795960301	624.7680117528533	230.0	395.4458125560923	316.68732974686895	338.7151536255712	260.78129945963957	242.3299253678304
Gm3494	125.30251084163343	88.80909993649827	142.63545405463765	107.33283693795522	159.0	112.22110896862077	157.6920448533792	162.74204646853616	139.1117209189268	166.0140831997525
Gm3500	175.5229616154627	193.31677814459977	212.42650191011782	202.42903122826084	214.0	197.72290627804614	215.03460661824437	201.37674367895286	222.91908795571146	214.84175472909143
Gm3604	87.5128647147916	101.81649336154094	106.86754202870404	87.75420870171584	58.0	60.56377309417629	78.8460224266896	83.62030355131289	66.36522465857058	70.52885887571183
Gm362	11.933572461107946	8.522085347441752	6.106716687354517	13.984734454456706	20.0	17.812874439463616	13.032400401105718	16.141894039968626	12.762543203571267	10.850593673186436
Gm364	102.92706247705604	89.70616155201844	105.12276583231704	129.70841206508595	90.0	99.75209686099625	114.03350350967504	121.99037954795962	129.32710446285552	135.63242091483045
Gm3646	24.861609293974887	25.566256042325257	27.916419142192076	22.37557512713073	26.0	44.53218609865904	27.36804084232201	31.489924438627323	41.265556358213765	43.402374692745745
Gm3696	100.93813373353804	106.75033224690195	78.95112288651197	99.29161462664261	122.0	105.09595919283532	119.24646367011734	107.17159157684088	108.90703533714148	104.52738571836267
Gm3701	13.922501204625936	20.632417156964244	25.73544889670832	25.87175874074491	32.0	24.04738049327588	29.32290090248787	25.40363652191784	23.8234139799997	30.381662284922022
Gm3706	17.40312650578242	12.558862617282582	18.32015006206355	32.86412596797326	33.0	24.93802421524906	24.10994074204558	26.991363804537706	26.37592262071395	31.466721652240665
Gm3716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3750	17.40312650578242	14.352985848322952	18.756344111160303	31.815270883889006	34.0	24.04738049327588	24.10994074204558	28.31446987338759	26.37592262071395	31.466721652240665
Gm3763	2.9833931152769866	4.485308077600923	6.106716687354517	7.691603949951189	5.0	5.343862331839085	5.8645801804975735	7.6740151993293475	4.679599174642798	5.063610380820337
Gm3776	199.3901065376786	198.25061702996078	215.91605430289184	190.1923885806112	185.0	154.08136390136028	132.27886407122304	128.0766674646691	137.41004849178398	132.7389292686474
