gene	read_counts_per_gene_CV-H3K9ac_1.txt	read_counts_per_gene_CV-H3K9ac_2.txt	read_counts_per_gene_CV-H3K9ac_3.txt	read_counts_per_gene_CV-H3K9ac_4.txt	read_counts_per_gene_CV-H3K9ac_5.txt	read_counts_per_gene_CV-H3K9ac_6.txt	read_counts_per_gene_GF-H3K9ac_1.txt	read_counts_per_gene_GF-H3K9ac_2.txt	read_counts_per_gene_GF-H3K9ac_3.txt	read_counts_per_gene_GF-H3K9ac_4.txt
Mirlet7d	30	14	27	5	10	8	14	28	32	25
Mirlet7e	23	28	25	14	9	5	12	19	15	8
Mirlet7f-1	21	21	31	10	6	8	38	37	31	41
Mirlet7f-2	12	14	15	3	4	2	15	17	18	18
Mirlet7g	16	23	36	14	12	9	35	33	33	40
Mirlet7i	119	131	417	139	168	24	395	479	365	465
Mis12	58	70	146	64	57	15	193	232	191	274
Mis18bp1	38	51	142	42	30	16	161	200	190	211
Mitd1	46	53	109	42	31	17	236	204	187	305
Mitf	30	25	62	19	12	13	68	103	95	121
Mixl1	26	22	39	15	15	9	33	29	17	28
Mki67	46	43	78	33	28	10	117	103	116	150
Mki67ip	24	32	69	25	15	7	64	63	64	102
Mkks	54	46	169	46	43	21	283	288	242	471
Mkl1	46	38	101	32	26	13	137	137	152	185
Mkl2	43	61	180	64	76	34	191	222	226	309
Mkln1	25	20	57	22	34	12	94	103	85	121
Mknk1	34	26	49	17	28	5	105	62	65	108
Mknk2	27	41	54	32	26	18	74	63	79	85
Mkrn1	28	25	61	26	18	14	47	54	60	72
Mkrn2	36	20	43	17	13	20	29	30	27	46
Mkrn3	14	11	31	4	7	6	14	24	15	10
Mks1	21	20	43	23	17	14	39	30	30	45
Mkx	28	28	33	19	14	8	36	27	36	39
Mlana	21	29	29	20	8	5	16	18	14	18
Mlc1	28	23	28	6	4	6	13	20	21	14
Mlec	56	70	182	59	73	25	206	254	231	256
Mlf1	26	27	38	11	8	6	18	17	20	11
Mlf1ip	39	26	44	24	8	6	66	73	68	83
Mlf2	48	42	85	36	26	12	95	97	106	167
Mlh1	73	135	321	133	136	33	383	420	434	520
Mlh3	28	22	48	15	20	11	45	52	61	87
Mlkl	44	58	98	42	54	19	145	129	108	164
Mll1	41	41	108	50	49	11	179	140	142	173
Mll2	135	309	723	255	267	56	873	874	787	1112
Mll3	94	145	412	158	171	47	481	586	463	611
Mll5	272	443	1534	505	532	105	1499	2261	1528	2035
Mllt1	36	47	86	39	29	14	81	66	71	76
Mllt10	26	20	25	14	8	4	8	29	21	30
Mllt11	114	188	431	195	202	35	544	662	600	771
Mllt3	47	56	112	35	40	13	142	125	148	206
Mllt4	38	55	147	39	56	14	201	183	197	283
Mllt6	37	68	164	55	53	22	243	204	234	337
Mlph	34	36	63	27	27	17	55	39	45	58
Mlst8	56	76	211	63	80	21	289	344	279	438
Mlx	28	52	86	33	42	11	101	97	128	162
Mlxip	26	31	49	28	30	13	42	56	54	82
Mlxipl	31	27	57	19	22	21	35	46	45	60
Mlycd	35	39	68	29	27	13	49	53	71	71
Mmaa	67	69	167	65	79	25	229	269	232	355
Mmab	37	43	107	49	48	14	145	152	170	254
Mmachc	41	33	67	21	30	12	96	103	97	149
Mmadhc	33	38	65	15	21	6	70	99	72	80
Mmd	26	20	48	17	13	16	48	57	52	77
Mmd2	24	31	27	16	11	12	15	14	22	27
Mme	36	32	57	24	29	18	104	87	91	121
Mmel1	21	23	31	16	22	14	28	22	31	26
Mmgt1	18	19	32	9	9	8	25	28	29	45
Mmgt2	76	113	235	123	110	37	281	296	276	339
Mmp10	24	22	30	9	12	11	11	15	9	8
Mmp11	21	21	39	19	17	10	42	31	31	56
Mmp12	26	17	23	8	4	8	7	25	21	9
Mmp13	21	22	24	8	8	2	12	16	11	12
Mmp14	38	38	81	28	28	11	82	78	97	99
Mmp15	34	34	56	24	30	7	66	63	60	100
Mmp16	10	29	39	16	10	11	19	24	17	24
Mmp17	39	43	59	25	21	18	83	71	72	93
Mmp19	28	23	32	8	17	9	17	29	17	18
Mmp1a	14	15	24	16	14	12	8	16	13	13
Mmp1b	19	23	31	13	9	9	10	12	9	14
Mmp2	23	19	29	14	3	10	16	18	23	11
Mmp20	12	28	33	10	8	1	17	26	16	13
Mmp21	28	25	27	20	12	17	26	13	26	16
Mmp23	59	75	136	78	82	22	237	254	228	330
Mmp24	26	38	30	13	6	13	22	32	17	15
Mmp25	27	32	42	17	12	6	24	29	16	26
Mmp27	19	22	27	14	4	6	20	12	15	14
Mmp28	28	38	48	31	33	10	74	63	69	101
Mmp3	18	16	23	9	3	4	6	16	8	9
Mmp7	31	18	50	14	12	9	38	31	35	49
Mmp8	21	17	27	10	7	8	14	9	17	3
Mmp9	24	24	38	18	18	8	20	15	16	28
Mmrn1	27	15	29	10	6	5	13	23	16	15
Mmrn2	18	14	27	21	18	9	17	20	23	19
Mms19	54	89	153	78	91	33	283	250	219	391
Mms22l	51	57	139	57	53	17	168	214	171	254
Mn1	18	23	39	21	10	8	12	19	19	16
Mnat1	23	18	43	11	15	10	35	39	40	66
Mnd1	19	20	37	10	11	6	34	45	42	46
Mnda	23	19	30	15	6	13	13	22	17	20
Mndal	20	19	24	8	7	8	20	29	13	15
Mns1	42	28	51	23	19	9	31	39	33	32
Mnt	39	48	131	40	50	15	190	215	186	270
Mnx1	38	31	75	26	31	8	79	92	76	116
Moap1	66	112	244	102	89	16	277	375	318	456
Mob1a	45	49	102	29	33	17	142	151	156	254
Mob1b	43	58	136	46	46	21	180	217	151	308
Mob2	53	48	120	46	54	24	162	148	139	216
Mob3a	53	57	140	43	60	20	190	223	172	317
Mob3b	31	23	52	19	9	11	25	47	34	41
Mob3c	35	37	74	25	30	15	63	92	84	127
Mob4	32	28	59	36	23	9	89	91	81	113
Mobp	21	19	31	15	11	7	20	21	24	12
Mocos	41	52	72	31	29	19	98	133	97	107
Mocs1	27	23	38	16	17	10	23	43	30	41
Mocs2	66	51	129	34	53	11	163	157	149	208
Mocs3	91	141	396	178	139	39	557	684	525	769
Mog	20	23	36	16	8	9	14	19	22	14
Mogat1	22	19	29	14	4	12	22	15	11	10
Mogat2	28	16	51	15	11	13	28	28	32	52
Mogs	41	68	144	52	64	9	192	244	196	324
Mon1a	30	21	52	13	18	14	76	75	82	109
Mon1b	49	66	143	53	52	17	147	199	155	273
Mon2	33	39	86	17	21	10	102	124	95	131
Morc1	15	23	34	14	11	12	13	21	18	11
Morc2a	115	175	440	180	154	57	492	718	523	686
Morc2b	25	26	29	17	9	10	13	15	14	7
Morc3	22	22	38	14	12	8	26	25	30	32
Morc4	11	12	19	11	8	3	11	13	8	12
Morf4l1	20	16	48	15	14	8	40	43	31	45
Morf4l2	9	6	18	8	5	9	8	12	13	21
Morn1	79	136	276	118	137	36	405	367	419	457
Morn2	47	73	146	64	70	20	204	204	191	259
Morn3	41	16	42	19	20	12	26	24	21	37
Morn4	25	16	30	4	3	2	27	26	24	24
Morn5	54	92	197	69	72	22	252	287	252	315
Mos	22	14	24	11	9	8	8	22	23	14
Mosc1	25	37	44	20	5	13	39	14	32	57
Mosc2	26	42	87	31	37	15	103	115	112	191
Mospd1	13	12	32	9	4	4	16	18	20	25
Mospd2	9	20	36	14	10	7	53	54	49	56
Mospd3	73	73	219	53	70	28	306	310	339	414
Mospd4	19	25	42	18	13	7	18	26	31	24
Mov10	37	42	56	24	20	10	68	51	56	85
Mov10l1	25	26	24	21	14	11	20	18	19	14
Moxd1	24	27	30	19	13	9	27	27	21	26
Moxd2	31	15	36	21	12	11	16	26	19	30
Mpdu1	39	36	90	33	33	15	101	104	109	131
Mpdz	19	16	20	7	8	6	12	13	14	9
Mpeg1	24	13	35	14	6	7	17	16	6	16
Mpg	31	49	57	26	22	12	39	52	55	46
Mphosph10	36	65	148	75	54	23	170	206	159	238
Mphosph6	36	49	129	46	51	19	204	210	175	273
Mphosph8	49	38	98	24	40	15	149	119	118	180
Mphosph9	33	34	83	21	28	18	87	95	90	150
Mpi	32	33	56	18	20	8	53	58	76	91
Mpl	21	19	36	22	19	10	21	18	23	19
Mpnd	46	59	84	40	35	21	135	165	181	210
Mpo	21	31	43	14	10	7	17	25	18	14
Mpp1	15	17	31	4	10	8	16	26	18	26
Mpp2	34	19	64	18	9	6	57	65	60	125
Mpp3	23	39	57	25	19	16	55	45	36	69
Mpp4	26	19	30	27	7	8	21	33	29	37
Mpp5	39	44	107	45	48	18	164	173	137	221
Mpp6	31	34	66	28	18	17	65	57	61	96
Mpp7	34	35	48	23	22	12	46	37	33	65
Mppe1	35	20	51	24	7	9	78	56	79	98
Mpped1	17	23	27	24	13	6	12	11	14	8
Mpped2	16	14	27	19	14	9	27	29	17	28
Mprip	40	51	115	49	67	21	216	241	210	274
Mpst	68	80	232	80	61	27	319	359	294	543
Mpv17	40	44	79	43	34	16	137	113	139	186
Mpv17l	21	21	38	8	11	6	18	20	19	21
Mpv17l2	40	31	58	18	13	12	54	72	68	97
Mpz	89	154	394	130	136	35	429	537	476	593
Mpzl1	39	32	58	27	18	21	57	64	52	96
Mpzl2	31	46	99	42	35	18	114	90	113	125
Mpzl3	33	27	61	22	15	14	100	114	132	148
Mr1	31	19	46	11	15	11	20	17	33	30
Mrap	22	22	35	17	12	22	33	19	17	27
Mrap2	23	23	25	8	15	6	8	19	16	9
Mras	33	37	87	28	35	18	117	95	108	136
Mrc1	13	23	24	8	6	5	15	18	15	16
Mrc2	22	21	32	13	11	6	10	24	14	16
Mre11a	79	69	237	63	70	17	275	338	260	376
Mreg	17	29	37	15	12	17	36	40	40	50
Mrfap1	45	27	76	20	13	14	64	68	66	91
Mrgpra1	18	28	30	6	5	8	6	17	18	7
Mrgpra2a	37	23	26	13	7	15	7	20	14	11
Mrgpra2b	29	19	32	12	8	10	12	16	7	9
Mrgpra3	22	19	25	8	5	7	6	20	15	15
Mrgpra4	16	23	27	14	9	7	10	8	15	9
Mrgpra6	26	20	25	8	8	11	10	16	10	13
Mrgpra9	17	20	30	10	7	11	10	15	13	9
Mrgprb1	26	11	20	10	5	9	9	12	8	8
Mrgprb2	20	15	33	16	8	10	18	15	17	8
Mrgprb3	17	17	29	14	4	6	11	17	18	12
Mrgprb4	21	18	20	5	10	5	11	22	8	5
Mrgprb5	24	14	25	12	2	5	14	15	15	10
Mrgprb8	18	22	22	17	17	5	15	16	14	6
Mrgprd	32	31	38	16	9	18	18	18	21	23
Mrgpre	35	30	43	26	22	15	46	39	38	35
Mrgprf	26	22	31	16	13	11	11	22	16	27
Mrgprg	37	24	38	19	11	14	28	34	45	39
Mrgprh	27	22	33	17	8	8	13	18	17	17
Mrgprx1	9	17	30	5	7	3	7	18	9	13
Mrgprx2	22	19	32	15	11	7	12	17	9	10
Mri1	29	23	59	19	21	12	74	48	65	89
Mrm1	34	27	73	30	28	13	86	84	90	106
Mro	16	20	36	12	9	13	25	25	28	35
Mrp63	45	55	126	41	67	20	139	170	162	217
Mrpl1	35	48	94	33	30	12	160	139	151	183
Mrpl10	31	31	40	22	12	15	52	50	64	76
Mrpl11	33	39	76	32	30	13	98	133	101	216
Mrpl12	27	52	72	36	28	19	72	60	88	87
Mrpl13	59	59	165	67	55	14	230	266	230	323
Mrpl14	88	90	227	118	91	30	303	321	314	447
Mrpl15	38	27	91	35	31	13	128	139	104	193
Mrpl16	32	15	46	20	18	7	54	56	45	77
Mrpl17	26	25	45	12	17	12	42	63	50	65
Mrpl18	63	92	313	122	106	30	308	359	312	387
Mrpl19	25	28	58	16	13	10	39	38	37	45
Mrpl2	76	114	386	135	126	38	473	592	491	635
Mrpl20	35	31	47	20	20	15	69	63	70	92
Mrpl21	79	84	175	71	79	34	248	210	184	265
Mrpl22	22	21	39	20	11	11	26	26	33	18
Mrpl23	35	21	50	40	17	12	52	51	45	67
Mrpl24	25	21	37	20	16	9	54	46	56	77
Mrpl27	51	48	95	32	45	21	91	118	93	153
Mrpl28	25	30	56	20	21	12	47	46	47	59
Mrpl3	27	30	43	16	20	13	55	59	45	65
Mrpl30	45	53	133	50	41	20	235	223	183	342
Mrpl32	70	103	251	95	90	24	338	407	321	463
Mrpl33	24	30	45	28	21	13	43	54	40	60
Mrpl34	46	54	87	32	38	13	91	85	87	115
Mrpl35	24	24	34	15	10	11	64	64	47	78
Mrpl36	37	27	55	28	25	15	56	64	59	83
Mrpl37	35	37	93	34	34	14	118	110	119	154
Mrpl38	34	42	36	20	24	17	53	39	49	65
Mrpl39	40	37	105	34	36	16	195	153	167	204
Mrpl4	20	26	43	30	15	10	69	78	79	93
Mrpl40	42	88	167	74	89	26	290	264	245	306
Mrpl41	55	59	151	57	70	22	179	203	173	250
Mrpl42	25	21	44	14	14	11	22	29	32	17
Mrpl43	54	48	81	43	42	15	151	127	122	186
Mrpl44	20	13	41	13	5	9	19	33	25	29
Mrpl45	25	18	47	14	6	15	40	57	56	84
Mrpl46	64	79	252	60	68	27	340	421	316	518
Mrpl47	76	127	244	112	97	32	315	338	261	288
Mrpl48	125	178	433	186	169	49	618	755	700	865
Mrpl49	76	97	358	124	118	40	388	468	443	543
