gene	read_counts_per_gene_CV-H3K9ac_1.txt	read_counts_per_gene_CV-H3K9ac_2.txt	read_counts_per_gene_CV-H3K9ac_3.txt	read_counts_per_gene_CV-H3K9ac_4.txt	read_counts_per_gene_CV-H3K9ac_5.txt	read_counts_per_gene_CV-H3K9ac_6.txt	read_counts_per_gene_GF-H3K9ac_1.txt	read_counts_per_gene_GF-H3K9ac_2.txt	read_counts_per_gene_GF-H3K9ac_3.txt	read_counts_per_gene_GF-H3K9ac_4.txt
7420700N18Rik	6.872042659684743	11.060870776428432	8.46787884063928	10.425920320884575	3.562574887892723	5.0	3.977857487035982	3.4961836136141766	6.542910736451268	3.588246462080738
7420701I03Rik	9.403847850094913	9.359198349285595	6.880151558019415	9.774300300829289	12.46901210762453	12.0	5.966786230553973	5.9435121431441	6.542910736451268	5.382369693121107
7530416G11Rik	9.042161394322031	11.060870776428432	7.938636413099324	11.729160360995147	13.359655829597711	14.0	10.93910808934895	6.992367227228353	7.41529883464477	3.588246462080738
7530420F21Rik	9.403847850094913	9.359198349285595	5.821666702939504	11.729160360995147	1.7812874439463615	4.0	9.944643717589955	6.293130504505518	6.106716687354517	6.279431308641291
7630403G23Rik	6.510356203911862	6.8066897085713425	6.35090913047946	7.819440240663432	4.453218609865904	7.0	3.480625301156484	5.593893781782683	4.798134540064263	5.830900500881199
8030411F24Rik	7.957102027003387	5.530435388214216	8.46787884063928	12.380780381050434	9.797080941704989	9.0	4.972321858794977	4.894657059059847	5.234328589161015	4.9338388853610144
8030423F21Rik	11.93565304050508	8.933780242499887	7.6740151993293475	15.638880481326863	8.015793497758628	11.0	5.966786230553973	10.48855084084253	8.287686932838273	9.419146962961937
8030423J24Rik	7.595415571230506	8.933780242499887	6.880151558019415	4.561340140387002	3.562574887892723	3.0	9.944643717589955	11.187787563565365	8.287686932838273	4.485308077600923
8030442B05Rik	12.659025952050843	19.99465101892832	25.40363652191784	26.716420822266723	29.391242825114965	17.0	43.7564323573958	31.116034161166173	37.948882271417354	61.00018985537255
8030443G20Rik	9.042161394322031	6.381271601785634	10.5848485507991	7.167820220608146	8.906437219731808	10.0	10.441875903469453	8.390840672674024	6.106716687354517	8.970616155201846
8030462N17Rik	17.3609498770983	22.121741552856864	32.54840929370723	28.671280882432583	53.438623318390846	18.0	85.52393597127362	48.94657059059847	65.86530141360943	104.0591474003414
8430403D17Rik	7.595415571230506	13.187961310356975	10.320227337029122	7.167820220608146	7.125149775785446	7.0	7.458482788192466	12.236642647649617	6.979104785548019	7.625023731921568
8430406I07Rik	37.25370494460677	62.536461697499206	116.69795527256008	116.63998358989619	151.40943273544073	58.0	303.3116333864936	249.97712837341362	255.17351872159944	335.0525133967889
8430408G22Rik	6.872042659684743	12.337125096785558	8.203257626869302	10.425920320884575	16.031586995517255	12.0	13.42526901874644	7.691603949951189	13.958209571096038	14.801516656083043
8430410A17Rik	11.93565304050508	16.16588805785694	12.70181826095892	14.987260461271577	16.031586995517255	13.0	22.375448364577398	19.22900987487797	17.8839560129668	23.323602003524798
