tracking_id	q27_FPKM	q28_FPKM	q29_FPKM	q30_FPKM	q31_FPKM	q32_FPKM	q27_FPKMr	q28_FPKMr	q29_FPKMr	q30_FPKMr	q31_FPKMr	q32_FPKMr
Pstpip2	47.5076	36.375	44.4588	44.695	61.5997	53.3507	47.5076	36.375	44.4588	44.695	61.5997	53.3507
Ptar1	1.92451	1.17876	1.87364	2.28284	3.98511	1.78848	1.92451	1.17876	1.87364	2.28284	3.98511	1.78848
Ptbp1	54.2956	48.7486	54.9793	47.8703	39.4732	48.0094	54.2956	48.7486	54.9793	47.8703	39.4732	48.0094
Ptbp2	1.76341	2.60033	2.03304	2.16984	1.48668	1.79378	1.76341	2.60033	2.03304	2.16984	1.48668	1.79378
Ptcd1	13.8022	16.1087	14.1997	14.4167	13.0061	12.906	13.8022	16.1087	14.1997	14.4167	13.0061	12.906
Ptcd2	8.55804	8.54202	7.69598	7.44241	6.71542	7.6669	8.55804	8.54202	7.69598	7.44241	6.71542	7.6669
Ptcd3	5.39914	5.55459	4.06738	4.27992	3.90766	4.15671	5.39914	5.55459	4.06738	4.27992	3.90766	4.15671
Ptch1	1.2081	0.760882	0.749888	0.600638	1.20614	0.713204	1.2081	0.760882	0.749888	0.600638	1.20614	0.713204
Ptdss1	75.555	75.051	68.3641	58.8299	63.659	58.6796	75.555	75.051	68.3641	58.8299	63.659	58.6796
Ptdss2	18.4378	21.3252	19.1081	18.4392	18.4824	17.0192	18.4378	21.3252	19.1081	18.4392	18.4824	17.0192
Pten	10.4942	11.9274	9.70197	9.99777	11.0423	9.96661	10.4942	11.9274	9.70197	9.99777	11.0423	9.96661
Ptger1	12.2131	11.0992	12.697	12.7438	11.4989	14.6018	12.2131	11.0992	12.697	12.7438	11.4989	14.6018
Ptger4	20.8776	20.9146	27.0663	30.2479	29.2097	26.2174	20.8776	20.9146	27.0663	30.2479	29.2097	26.2174
Ptges	3.94374	3.57107	4.13208	3.35216	2.95904	4.62582	3.94374	3.57107	4.13208	3.35216	2.95904	4.62582
Ptges2	10.7435	11.8885	11.3837	10.8745	10.3172	8.84569	10.7435	11.8885	11.3837	10.8745	10.3172	8.84569
Ptges3	22.6997	26.1849	21.2743	23.8195	25.7495	21.5753	22.6997	26.1849	21.2743	23.8195	25.7495	21.5753
Ptgfrn	26.8786	25.2908	26.4586	26.0843	28.8409	27.5028	26.8786	25.2908	26.4586	26.0843	28.8409	27.5028
Ptgr1	14.9562	14.8715	14.8431	20.19	16.0996	12.2089	14.9562	14.8715	14.8431	20.19	16.0996	12.2089
Ptgr2	22.9459	20.7065	19.932	20.6354	24.2119	20.1341	22.9459	20.7065	19.932	20.6354	24.2119	20.1341
Ptgs1	6.06728	5.81767	4.6742	6.27964	8.92187	5.37705	6.06728	5.81767	4.6742	6.27964	8.92187	5.37705
Ptgs2	1.14486	0.940705	0.710428	0.906866	1.29272	0.981902	1.14486	0.940705	0.710428	0.906866	1.29272	0.981902
Ptk2	7.21171	7.04864	7.31851	6.8491	6.90884	7.52472	7.21171	7.04864	7.31851	6.8491	6.90884	7.52472
Ptk2b	15.6139	13.1761	15.1984	14.4881	14.5444	20.0746	15.6139	13.1761	15.1984	14.4881	14.5444	20.0746
Ptk6	40.4644	34.1463	34.1003	32.5675	35.941	50.102	40.4644	34.1463	34.1003	32.5675	35.941	50.102
Ptk7	1.15748	0.884666	0.702484	0.798804	1.05007	0.777538	1.15748	0.884666	0.702484	0.798804	1.05007	0.777538
Ptma	92.0859	85.8233	69.3686	73.3348	73.6064	71.5032	92.0859	85.8233	69.3686	73.3348	73.6064	71.5032
Ptms	147.613	158.879	154.128	166.032	163.139	185.877	147.613	158.879	154.128	166.032	163.139	185.877
Ptov1	8.421	9.45259	11.3045	8.99323	9.00427	10.0383	8.421	9.45259	11.3045	8.99323	9.00427	10.0383
Ptp4a1	12.5155	24.5404	26.0066	27.9788	15.2989	23.5004	12.5155	24.5404	26.0066	27.9788	15.2989	23.5004
Ptp4a2	56.1334	65.9498	62.1452	61.2901	54.1013	60.5994	56.1334	65.9498	62.1452	61.2901	54.1013	60.5994
Ptp4a3	2.39998	2.28795	2.57427	3.01113	2.06073	2.185	2.39998	2.28795	2.57427	3.01113	2.06073	2.185
