tracking_id	q21_FPKM	q22_FPKM	q23_FPKM	q24_FPKM	q25_FPKM	q26_FPKM	q21_FPKMr	q22_FPKMr	q23_FPKMr	q24_FPKMr	q25_FPKMr	q26_FPKMr
Acadm	72.3192	73.0759	75.6722	82.1982	65.7508	71.4403	72.3192	73.0759	75.6722	82.1982	65.7508	71.4403
Acads	52.9039	52.3121	62.476	66.471	39.2628	48.6009	52.9039	52.3121	62.476	66.471	39.2628	48.6009
Acadsb	1.23643	1.77201	2.01931	1.50716	1.51076	1.17258	1.23643	1.77201	2.01931	1.50716	1.51076	1.17258
Acadvl	81.5409	65.2757	67.3518	79.4072	58.2731	63.4951	81.5409	65.2757	67.3518	79.4072	58.2731	63.4951
Acap1	2.69611	3.50032	3.6614	3.353	4.29255	3.09867	2.69611	3.50032	3.6614	3.353	4.29255	3.09867
Acap2	9.4955	9.54154	7.93596	9.45913	11.065	11.218	9.4955	9.54154	7.93596	9.45913	11.065	11.218
Acap3	2.34847	2.1581	1.71146	2.6604	3.11161	2.31363	2.34847	2.1581	1.71146	2.6604	3.11161	2.31363
Acat1	11.2824	12.5194	13.0221	13.8542	8.95743	8.35637	11.2824	12.5194	13.0221	13.8542	8.95743	8.35637
Acat2	16.6836	17.2127	11.8372	19.9331	30.2144	20.7878	16.6836	17.2127	11.8372	19.9331	30.2144	20.7878
Acat3	6.76509	7.29221	8.19004	6.81588	8.8212	5.51626	6.76509	7.29221	8.19004	6.81588	8.8212	5.51626
Acbd3	12.6335	12.1701	12.8123	12.6988	10.6795	11.3642	12.6335	12.1701	12.8123	12.6988	10.6795	11.3642
Acbd4	84.4176	62.7002	62.0422	75.059	67.0692	61.5595	84.4176	62.7002	62.0422	75.059	67.0692	61.5595
Acbd5	11.0958	14.0781	12.2625	12.1202	14.2285	13.7052	11.0958	14.0781	12.2625	12.1202	14.2285	13.7052
Acbd6	8.55293	7.62618	8.60278	8.86827	5.999	5.25085	8.55293	7.62618	8.60278	8.86827	5.999	5.25085
Accn2	1.6178	1.33985	1.32494	1.54845	1.55678	1.32743	1.6178	1.33985	1.32494	1.54845	1.55678	1.32743
Acd	6.71576	5.48695	5.59878	4.82734	4.29972	5.09455	6.71576	5.48695	5.59878	4.82734	4.29972	5.09455
Ace	145.666	132.668	159.779	417.342	227.628	204.518	145.666	132.668	159.779	417.342	227.628	204.518
Ace2	586.346	555.153	552.146	970.468	886.399	813.997	586.346	555.153	552.146	970.468	886.399	813.997
Acer1	8.58278	4.05759	5.76533	9.32074	7.44296	7.16117	8.58278	4.05759	5.76533	9.32074	7.44296	7.16117
Acer2	0.755954	0.696559	0.737072	0.435217	1.11703	0.895888	0.755954	0.696559	0.737072	0.435217	1.11703	0.895888
Acer3	2.62772	2.53023	2.85981	2.34632	2.12784	2.57379	2.62772	2.53023	2.85981	2.34632	2.12784	2.57379
Acin1	26.9042	26.1145	29.3636	25.1293	33.368	28.3111	26.9042	26.1145	29.3636	25.1293	33.368	28.3111
Acly	12.0705	15.5453	11.273	13.0091	14.788	14.4296	12.0705	15.5453	11.273	13.0091	14.788	14.4296
Acn9	3.17697	2.41888	3.24869	1.66999	2.59256	2.23186	3.17697	2.41888	3.24869	1.66999	2.59256	2.23186
Acnat1	13.764	15.7242	14.7314	12.9788	16.8859	18.6154	13.764	15.7242	14.7314	12.9788	16.8859	18.6154
Aco1	39.7395	37.1794	36.7063	54.6217	43.4335	42.8368	39.7395	37.1794	36.7063	54.6217	43.4335	42.8368
Aco2	305.529	258.047	258.796	408.796	300.343	277.434	305.529	258.047	258.796	408.796	300.343	277.434
Acot11	19.3219	19.2934	24.7796	24.1076	19.0778	19.5435	19.3219	19.2934	24.7796	24.1076	19.0778	19.5435
Acot12	0.978339	0.949346	2.07191	2.44722	2.4444	2.29936	0.978339	0.949346	2.07191	2.44722	2.4444	2.29936
Acot13	60.4649	49.4466	52.2857	59.5184	47.5852	52.6919	60.4649	49.4466	52.2857	59.5184	47.5852	52.6919
Acot2	0.938378	0.909604	0.818219	0.703007	1.13362	1.4053	0.938378	0.909604	0.818219	0.703007	1.13362	1.4053
Acot4	13.9574	9.92459	11.8173	17.2074	15.9344	14.3384	13.9574	9.92459	11.8173	17.2074	15.9344	14.3384
Acot7	47.7457	36.3362	27.765	61.3486	65.8081	52.2256	47.7457	36.3362	27.765	61.3486	65.8081	52.2256
Acot8	40.5444	26.8975	32.5779	43.7047	34.9637	28.8242	40.5444	26.8975	32.5779	43.7047	34.9637	28.8242
Acot9	40.5722	38.3831	36.9277	44.1844	34.1564	33.6022	40.5722	38.3831	36.9277	44.1844	34.1564	33.6022
Acox1	227.711	183.629	189.469	265.672	235.058	238.016	227.711	183.629	189.469	265.672	235.058	238.016
Acox2	12.2267	7.27437	8.13867	13.5268	19.8963	12.7876	12.2267	7.27437	8.13867	13.5268	19.8963	12.7876
Acox3	27.2599	22.7606	20.2844	23.0955	22.3538	25.2604	27.2599	22.7606	20.2844	23.0955	22.3538	25.2604
Acp1	21.507	19.0877	16.635	20.0196	20.7036	20.8356	21.507	19.0877	16.635	20.0196	20.7036	20.8356
Acp2	13.0004	12.5832	12.0109	14.3774	10.1964	11.1842	13.0004	12.5832	12.0109	14.3774	10.1964	11.1842
Acp5	207.632	154.011	183.642	174.641	148.97	147.619	207.632	154.011	183.642	174.641	148.97	147.619
Acp6	61.7197	47.403	46.758	58.7891	47.8949	53.2708	61.7197	47.403	46.758	58.7891	47.8949	53.2708
Acpl2	5.03598	4.77601	5.0849	3.53175	3.60651	4.16637	5.03598	4.77601	5.0849	3.53175	3.60651	4.16637
Acpp	3.59922	3.08325	1.98731	1.16544	1.35861	2.73427	3.59922	3.08325	1.98731	1.16544	1.35861	2.73427
Acrbp	4.28464	2.66557	3.20417	2.61573	5.61342	4.29534	4.28464	2.66557	3.20417	2.61573	5.61342	4.29534
Acsf2	42.7466	53.3229	40.6586	58.4247	53.1651	64.7303	42.7466	53.3229	40.6586	58.4247	53.1651	64.7303
Acsf3	16.3359	12.1509	13.9152	15.5415	12.4421	10.1038	16.3359	12.1509	13.9152	15.5415	12.4421	10.1038
Acsl1	9.54181	10.6476	9.42283	11.607	11.6115	11.6343	9.54181	10.6476	9.42283	11.607	11.6115	11.6343
Acsl3	6.30166	6.90783	5.44508	7.71344	7.906	12.6798	6.30166	6.90783	5.44508	7.71344	7.906	12.6798
Acsl4	0.792579	1.35036	0.729984	0.980148	1.33724	0.879388	0.792579	1.35036	0.729984	0.980148	1.33724	0.879388
Acsl5	529.732	456.529	517.256	1141	892.961	688.791	529.732	456.529	517.256	1141	892.961	688.791
Acsm5	0.209806	0.184474	0.455876	1.0569	0.494299	0.204253	0.209806	0.184474	0.455876	1.0569	0.494299	0.204253
Acss1	14.9219	19.7599	21.5118	33.1346	18.166	15.9919	14.9219	19.7599	21.5118	33.1346	18.166	15.9919
Acss2	11.7366	11.7973	7.79499	12.4684	19.3105	15.5601	11.7366	11.7973	7.79499	12.4684	19.3105	15.5601
Acta1	194.701	83.3127	32.5642	39.2325	160.262	182.424	194.701	83.3127	32.5642	39.2325	160.262	182.424
Acta2	3.10448	17.496	25.9843	3.31177	9.39041	10.1039	3.10448	17.496	25.9843	3.31177	9.39041	10.1039
Actb	2893.54	3137.45	3628.35	4715.46	5209.71	4074.16	2893.54	3137.45	3628.35	4715.46	5209.71	4074.16
Actg1	1604.06	1465.88	1262.04	2328.63	2141.72	1693.75	1604.06	1465.88	1262.04	2328.63	2141.72	1693.75
Actg2	0.517875	12.7776	9.08459	0.565244	1.72711	2.70543	0.517875	12.7776	9.08459	0.565244	1.72711	2.70543
Actl6a	7.55601	7.12011	6.00715	6.21616	5.40979	6.5549	7.55601	7.12011	6.00715	6.21616	5.40979	6.5549
Actn1	3.74724	4.82412	4.90098	4.11735	3.5835	3.79007	3.74724	4.82412	4.90098	4.11735	3.5835	3.79007
Actn4	672.861	564.986	530.092	686.265	587.561	619.585	672.861	564.986	530.092	686.265	587.561	619.585
Actr10	12.4234	11.5461	12.0491	13.7456	11.3942	11.8779	12.4234	11.5461	12.0491	13.7456	11.3942	11.8779
Actr1a	82.6613	64.0412	63.1817	86.6917	62.0997	67.271	82.6613	64.0412	63.1817	86.6917	62.0997	67.271
Actr1b	32.7859	26.6159	27.3634	32.4127	23.5009	25.3199	32.7859	26.6159	27.3634	32.4127	23.5009	25.3199
Actr2	58.5487	66.4644	60.3259	66.8589	68.6447	71.981	58.5487	66.4644	60.3259	66.8589	68.6447	71.981
Actr5	1.63395	1.32013	1.68957	1.51274	2.00273	1.09865	1.63395	1.32013	1.68957	1.51274	2.00273	1.09865
