CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP	ZK5_rep1	ZK6_rep1	ZK7_rep1	ZK8_rep1	ZK5_rep2	ZK6_rep2	ZK7_rep2	ZK8_rep2
Chuk	0.0071421261774775	0.0294943034719503	23.2510941065915	1.9974609838404	34.5032192405561	2.71873337711405	0.0787965133965925	36.0442151851482	36.0362758000758	31.1631495149128	34.9238888139908	36.0442151851482	36.0362758000758	31.1631495149128	34.9238888139908
Cpn1	0.0011258737188361	0.0090655275141617	23.5263835263835	6.20712248533517	6.0162381131288	2.69168941285624	0.447404069161152	5.96023413581993	9.05573332896948	5.19133469795073	3.69450670722575	5.96023413581993	9.05573332896948	5.19133469795073	3.69450670722575
Dnmbp	0.004921106882661	0.0214858586252554	24.6181311018131	23.7961991570796	50.3561106267439	8.00100445957355	0.15888845186793	61.0771039880137	47.1744898566013	44.7301483146166	47.7570989149629	61.0771039880137	47.1744898566013	44.7301483146166	47.7570989149629
Cox15	0.0011529194696419	0.0091637251164322	23.6991972240591	13.5922433346774	29.7018344881514	5.71496082397665	0.192411038660135	24.537078764081	27.5848540965546	35.1738324898127	31.3894468361938	24.537078764081	27.5848540965546	35.1738324898127	31.3894468361938
Slc25a28	0.0762667737514025	0.218655967978798	23.5436490508954	3.1503675372056	18.3576845858915	1.15099609607608	0.0626983261800161	19.0196983076641	19.2025560358673	17.1176872859176	18.0957827953737	19.0196983076641	19.2025560358673	17.1176872859176	18.0957827953737
Nkx2-3	0.0006738336778686	0.0073292879176227	24.0819366852886	18.073260397793	11.4825823760946	3.47730239318711	0.302832784411496	10.9320933499891	8.29649486432814	11.2843887505315	15.3792838052007	10.9320933499891	8.29649486432814	11.2843887505315	15.3792838052007
Gm20467	0.0005807032300535	0.0067571403010995	23.8198198198198	19.4122180264998	2.77485316752994	0.732711879367506	0.264054288688629	3.07103023902729	1.9282944215249	2.74257005421502	3.3798731745245	3.07103023902729	1.9282944215249	2.74257005421502	3.3798731745245
Pyroxd2	0.00176253425795	0.010822439828479	24.1732580037665	5.22655763144222	4.34782026764933	0.470042272289748	0.108109867325284	4.60914459794727	4.76106318501493	4.18671333885668	3.84301123288054	4.60914459794727	4.76106318501493	4.18671333885668	3.84301123288054
Pi4k2a	0.0012244839854689	0.0093659131348447	24.0819366852886	5.44895631121114	40.0176374295792	4.47069252221577	0.11171805257327	41.830101493429	44.3021086134937	38.5159940314197	35.4636199931085	41.830101493429	44.3021086134937	38.5159940314197	35.4636199931085
Zdhhc16	0.0922855719711783	0.255603171075522	23.6065122227141	3.6820280248495	7.06366663378982	0.628374326315781	0.088958661116577	7.33648932581315	7.63382851365274	6.45947990048257	6.82015501570432	7.33648932581315	7.63382851365274	6.45947990048257	6.82015501570432
