CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP	ZK1_newchange_rep1	ZK2_rep1	ZK3_rep1	ZK4_rep1	ZK1_newchange_rep2	ZK2_rep2	ZK3_rep2	ZK4_rep2
Gm6505	0.0029645531813156	0.0250354218798489	23.5944530997796	5.7178490910186	4.9782993661364	0.921953063769374	0.185194379839975	5.13104170986582	6.04419847105653	4.40722799016226	4.28916697325876	5.13104170986582	6.04419847105653	4.40722799016226	4.28916697325876
Slc2a2	0.0089521465335091	0.0597901686377398	23.1062465013665	12.0371879127751	50.7929976040038	59.679708815143	1.17495937688936	17.2130290852242	28.2835735341881	131.110441079566	19.0511274290929	17.2130290852242	28.2835735341881	131.110441079566	19.0511274290929
Tnik	0.0001307279553874	0.0058803155662242	24.0980009423167	11.4070597521338	12.530649586346	3.03103460438735	0.241889662902243	9.42333095480676	13.3047804213865	15.3544687789089	12.0840688662379	9.42333095480676	13.3047804213865	15.3544687789089	12.0840688662379
Pld1	0.0165479670921932	0.0985549621999905	24.0980009423167	10.5372663397501	73.7241699583791	16.4077670524939	0.222556144908202	55.5404087666954	87.2241376769784	83.4968136178906	68.9076228683723	55.5404087666954	87.2241376769784	83.4968136178906	68.9076228683723
Nceh1	0.277818245950932	0.745909016888808	23.3545059939312	10.017700003972	12.1820124982752	4.99603415900563	0.410115665183646	5.73005992573844	20.1907726104117	11.6202101158406	10.5998350062963	5.73005992573844	20.1907726104117	11.6202101158406	10.5998350062963
Gm6197	0.0025991825654072	0.0229219401613344	23.3255389954115	12.0904344212123	6.80879408278116	1.46118718818217	0.214602934149145	5.75346550819416	6.41507977031091	8.60117082172281	6.3308286152084	5.75346550819416	6.41507977031091	8.60117082172281	6.3308286152084
Gm5842	0.202055997232789	0.693021539821622	22.9794094794095	6.67556843308799	12.599833471612	4.40967959706279	0.349979196709067	10.6373689129407	18.8447211030509	9.85628491273582	10.4677378489281	10.6373689129407	18.8447211030509	9.85628491273582	10.4677378489281
Tbl1xr1	0.924293095261195	1.0	22.562803832946	0.904677084209732	20.6598787613309	0.823808081220523	0.0398747781019144	20.3185211830674	21.2435133367784	19.1302726193454	22.1145096490402	20.3185211830674	21.2435133367784	19.1302726193454	22.1145096490402
Car2	0.422672230101513	1.0	25.4708720766413	18.0836084195878	5.40849216942878	3.7777326622729	0.698481673621778	2.84833152334557	3.70216015506778	2.88550713932174	11.4501421574842	2.84833152334557	3.70216015506778	2.88550713932174	11.4501421574842
Rbis	0.0048706046567434	0.0362883732449594	23.3312440645774	6.28548292122435	10.5938404406883	1.56865402746516	0.148072272397114	10.3270394053685	12.5896276430756	9.78221825558366	9.54403184306426	10.3270394053685	12.5896276430756	9.78221825558366	9.54403184306426
E2f5	0.995702189573758	1.0	28.5740740740741	12.7930187828609	3.62735624099334	0.113566934241667	0.0313084590253994	3.32077932691845	3.80843914507765	3.45539580390091	3.94294377786085	3.32077932691845	3.80843914507765	3.45539580390091	3.94294377786085
Slc10a5	0.0006245892301194	0.0112419390835202	23.4946359436791	12.0880183609517	50.7451876725862	17.6104022483061	0.347035907363875	34.9168560938209	48.6910028755543	69.9336453086927	48.2411519298745	34.9168560938209	48.6910028755543	69.9336453086927	48.2411519298745
Impa1	0.0079636705465522	0.0541394674147014	24.1303237820628	10.6759995199877	44.2380544768533	9.97657634191598	0.225520232747487	33.4196205580761	51.3235382889657	51.0080567534102	41.4170855634495	33.4196205580761	51.3235382889657	51.0080567534102	41.4170855634495
A930014E01Rik	0.0010383971725082	0.0146607993981687	24.0819366852886	13.3076950304716	2.82874534672511	1.4192156457679	0.5017120566936	1.4004296656449	2.49835317654084	4.13789739076346	3.28738874594436	1.4004296656449	2.49835317654084	4.13789739076346	3.28738874594436
