CycID	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP	GFRNA1_rep1	GFRNA2_rep1	GFRNA3_rep1	GFRNA4_rep1	GFRNA1_rep2	GFRNA2_rep2	GFRNA3_rep2	GFRNA4_rep2
Ifrd2	0.944932135200588	1.0	24.1844548774126	3.63282883954424	12.1239375246802	0.580931889114177	0.0479161071171472	11.5595223660461	13.3837249165168	10.6372023295481	12.919240331791	11.5595223660461	13.3837249165168	10.6372023295481	12.919240331791
Naa80	0.169961642550519	0.453652765585034	24.1303237820628	22.3589704206845	22.5648757792269	1.25334454021242	0.0555440478589403	22.6958549517095	22.1402381805201	21.0927213457127	24.3023626221431	22.6958549517095	22.1402381805201	21.0927213457127	24.3023626221431
Hyal1	0.183416935638995	0.483520955139961	26.8752556237219	14.4199323443814	0.811345890469719	0.0556209107736944	0.0556209107736944	0.733227682378376	0.802983054529874	0.817474062479381	0.890828338665581	0.733227682378376	0.802983054529874	0.817474062479381	0.890828338665581
Tusc2	0.0745376318179038	0.229467705478987	24.1303237820628	21.9659499038686	32.0954224231619	5.40100712468557	0.168279670959803	38.6264223139193	26.8620304589379	29.6892618616991	33.0779426228967	38.6264223139193	26.8620304589379	29.6892618616991	33.0779426228967
Rassf1	0.94068606867629	1.0	24.2675177155316	4.46918485862309	12.6875843269412	0.526263535228127	0.0414786236423778	12.0225400236749	13.8959094163779	11.7735991001582	13.0691743339498	12.0225400236749	13.8959094163779	11.7735991001582	13.0691743339498
Tmem115	0.625822955152677	1.0	25.6118460380755	21.8475385616525	59.691694611313	3.41473699233805	0.0572062330374999	64.5318588561457	54.1933999640578	59.8749245363573	59.2079989682464	64.5318588561457	54.1933999640578	59.8749245363573	59.2079989682464
Hemk1	0.126490798638526	0.35701715448921	23.4324387462038	4.41072508303642	2.6611969076918	0.266020888196534	0.0999628728816118	2.7244500917705	2.94521073227818	2.41833011406983	2.54948946751466	2.7244500917705	2.94521073227818	2.41833011406983	2.54948946751466
Cish	0.124991951866047	0.353586779278749	24.0980009423167	22.4455332320296	4.83337215844361	0.535330949925821	0.110757237882175	4.93338751101259	4.64438140350523	4.21706235977333	5.52963593967707	4.93338751101259	4.64438140350523	4.21706235977333	5.52963593967707
Rbm15b	0.0728599136598591	0.225249136280348	26.560157790927	13.620408132463	10.580281284535	0.907900009560863	0.085810573948343	9.29018717638475	10.5554354641162	11.0985134635142	11.4460226038273	9.29018717638475	10.5554354641162	11.0985134635142	11.4460226038273
Dcaf1	0.50268422029932	0.978712703870662	23.4673293983639	23.1497743833078	4.09832449819323	0.415017388531636	0.101265136207394	4.13492141324261	4.14333547979905	3.48798573348858	4.66143838311052	4.13492141324261	4.14333547979905	3.48798573348858	4.66143838311052
Parp3	0.995219624462927	1.0	28.6604361370717	20.9126627361773	3.98159054927861	0.202382265384594	0.0508295021499039	3.50136206607048	4.2357580741412	3.3399937832314	4.70807086677174	3.50136206607048	4.2357580741412	3.3399937832314	4.70807086677174
Abhd14a	0.214530698274638	0.505238381501184	24.1303237820628	10.4884437030818	3.57197072415343	0.674952455000502	0.188958003053193	2.63300724190175	4.35277261323441	3.77433624743599	3.54271590711514	2.63300724190175	4.35277261323441	3.77433624743599	3.54271590711514
Acy1	0.121006603857267	0.34428660013616	23.9052823315118	9.99031154328008	116.69503654554	20.0540221704971	0.171849829814065	93.7569311844285	143.242741674652	120.231606371916	109.207725866594	93.7569311844285	143.242741674652	120.231606371916	109.207725866594
Alas1	0.968913730315371	1.0	22.3761917490867	1.56415388906812	41.471235699678	2.4976307479609	0.0602256167635799	39.9133412404393	44.3842082523407	36.4128423990333	45.6742159742765	39.9133412404393	44.3842082523407	36.4128423990333	45.6742159742765
Twf2	0.248659507820974	0.572285872902431	24.5762268369847	20.4284593750054	14.2527111853035	2.03390520187709	0.142703039122433	13.4491499144066	13.1988450512781	12.541235079645	17.608803029988	13.4491499144066	13.1988450512781	12.541235079645	17.608803029988
Pik3r4	0.444569867667302	0.882732118736643	22.7734411405398	3.49109188214493	7.08989126497172	0.30825555423948	0.0434781779746674	7.16118346503485	7.35202390692	6.64009532219318	7.21446435882251	7.16118346503485	7.35202390692	6.64009532219318	7.21446435882251
Gm7436	0.821576416183597	1.0	24.8752556237219	5.36864862459863	37.2648283141247	1.74207963077705	0.046748628924093	39.2184737028843	37.4363825336487	38.8546719474327	33.7420642033356	39.2184737028843	37.4363825336487	38.8546719474327	33.7420642033356
