Gene	GF-H3K9ac_1	CV-H3K9ac_3	CV-H3K9ac_2	CV-H3K9ac_1	GF-H3K9ac_2	GF-H3K9ac_3	GF-H3K9ac_4	CV-H3K9ac_6	CV-H3K9ac_5	CV-H3K9ac_4
Slc35f5	98.0	78.0	17.0	9.0	137.0	113	208.0	11.0	7.0	25.0
Slc35f6	29.0	23.0	6.0	3.0	30.0	39	33.0	6.0	2.0	5.0
Slc35g1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc35g3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc36a1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc36a1os	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc36a2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc36a3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc36a3os	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc37a1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc38a1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc38a10	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc38a11	54.0	52.0	26.0	21.0	83.0	78	65.0	16.0	10.0	7.0
Slc38a2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc38a4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc38a6	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc38a9	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc39a1	24.0	12.0	7.0	9.0	19.0	19	25.0	2.0	3.0	0.0
Slc39a1-ps	239.0	195.0	21.0	22.0	282.0	232	350.0	7.0	18.0	13.0
Slc39a10	46.0	81.0	5.0	18.0	96.0	59	56.0	6.0	1.0	9.0
Slc39a11	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc39a12	20.0	47.0	11.0	5.0	58.0	13	27.0	0.0	3.0	1.0
Slc39a13	94.0	96.0	15.0	38.0	117.0	92	103.0	6.0	2.0	34.0
Slc39a14	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc39a2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc39a3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc39a4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc39a5	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc39a6	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc39a7	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc39a8	55.0	92.0	17.0	43.0	99.0	119	90.0	8.0	3.0	19.0
Slc39a9	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc3a1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc3a2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc40a1	30.0	38.0	14.0	12.0	41.0	33	35.0	3.0	1.0	3.0
Slc41a1	56.0	23.0	19.0	39.0	59.0	49	37.0	11.0	3.0	5.0
Slc41a2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc43a1	530.0	374.0	67.0	44.0	473.0	426	625.0	9.0	67.0	32.0
Slc43a2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc43a3	19.0	22.0	13.0	13.0	51.0	16	71.0	1.0	2.0	3.0
Slc44a1	1067.0	666.0	59.0	15.0	921.0	887	1436.0	7.0	47.0	19.0
Slc44a3	15.0	21.0	5.0	11.0	37.0	16	19.0	4.0	4.0	6.0
Slc44a4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc44a5	93.0	103.0	25.0	28.0	149.0	148	125.0	23.0	14.0	24.0
Slc45a1	14.0	17.0	6.0	9.0	13.0	20	19.0	4.0	2.0	4.0
Slc45a2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc45a3	76.0	54.0	10.0	16.0	72.0	50	72.0	7.0	8.0	11.0
Slc45a4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc46a1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc46a2	17.0	21.0	9.0	9.0	24.0	13	16.0	3.0	1.0	5.0
Slc46a3	39.0	22.0	2.0	25.0	15.0	15	23.0	4.0	0.0	4.0
Slc47a1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc47a2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc48a1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc49a4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc4a1	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc4a10	36.0	48.0	10.0	20.0	84.0	25	21.0	5.0	6.0	16.0
Slc4a11	93.0	100.0	23.0	27.0	109.0	107	53.0	9.0	7.0	5.0
Slc4a1ap	45.0	34.0	5.0	25.0	52.0	32	43.0	3.0	3.0	4.0
Slc4a2	112.0	86.0	28.0	27.0	104.0	68	129.0	10.0	6.0	3.0
Slc4a3	1002.0	266.0	51.0	33.0	1197.0	1037	1441.0	6.0	10.0	32.0
Slc4a4	77.0	104.0	15.0	30.0	170.0	108	99.0	7.0	7.0	12.0
Slc4a7	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc4a8	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc4a9	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc50a1	563.0	387.0	15.0	10.0	498.0	785	612.0	16.0	10.0	31.0
Slc51a	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc52a2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc52a3	33.0	31.0	11.0	15.0	40.0	28	27.0	6.0	3.0	9.0
Slc5a1	27.0	19.0	8.0	7.0	28.0	26	53.0	1.0	7.0	4.0
Slc5a10	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc5a12	15.0	30.0	12.0	7.0	47.0	25	24.0	3.0	4.0	3.0
Slc5a3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc5a4a	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc5a4b	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc5a6	69.0	29.0	24.0	10.0	64.0	84	82.0	9.0	6.0	9.0
Slc5a7	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc5a8	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc5a9	28.0	44.0	3.0	10.0	46.0	39	19.0	6.0	2.0	5.0
Slc66a1	31.0	30.0	6.0	15.0	32.0	51	30.0	2.0	4.0	2.0
Slc66a2	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc6a15	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc6a17	35.0	32.0	12.0	29.0	72.0	73	71.0	3.0	5.0	13.0
Slc6a18	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc6a19	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc6a19os	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc6a3	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc6a4	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc6a7	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
Slc6a9	108.0	124.0	29.0	33.0	159.0	117	135.0	13.0	19.0	9.0
Slc7a1	45.0	89.0	12.0	21.0	53.0	79	81.0	5.0	16.0	15.0
